image_id,image_path,human_label,model,model_name,predicted_label,score_good,score_bad,match,checkpoint_path,learning_rate,source_wandb_run_id,best_epoch,best_val_f1
p0_img23,data/raw/p0_img23.png,Good,VGG16,vgg16,Good,0.691543,0.308457,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img24,data/raw/p0_img24.png,Good,VGG16,vgg16,Good,0.848855,0.151145,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img25,data/raw/p0_img25.png,Good,VGG16,vgg16,Good,0.80719,0.19281,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img26,data/raw/p0_img26.png,Good,VGG16,vgg16,Good,0.880853,0.119147,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img27,data/raw/p0_img27.png,Good,VGG16,vgg16,Good,0.794189,0.205811,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img28,data/raw/p0_img28.png,Good,VGG16,vgg16,Good,0.746512,0.253488,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img29,data/raw/p0_img29.png,Good,VGG16,vgg16,Good,0.901295,0.098705,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed0,data/raw/p1_seed0.jpg,Bad,VGG16,vgg16,Good,0.530877,0.469123,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed10,data/raw/p1_seed10.jpg,Bad,VGG16,vgg16,Good,0.547432,0.452568,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed12,data/raw/p1_seed12.jpg,Bad,VGG16,vgg16,Bad,0.325292,0.674708,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed2,data/raw/p1_seed2.jpg,Bad,VGG16,vgg16,Good,0.606743,0.393257,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed3,data/raw/p1_seed3.jpg,Bad,VGG16,vgg16,Good,0.500049,0.499951,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed4,data/raw/p1_seed4.jpg,Bad,VGG16,vgg16,Bad,0.452066,0.547934,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed5,data/raw/p1_seed5.jpg,Bad,VGG16,vgg16,Good,0.533002,0.466998,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed7,data/raw/p1_seed7.jpg,Bad,VGG16,vgg16,Bad,0.494791,0.505209,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p1_seed8,data/raw/p1_seed8.jpg,Bad,VGG16,vgg16,Bad,0.359441,0.640559,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_img12,data/raw/p2_img12.png,Bad,VGG16,vgg16,Good,0.709118,0.290882,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_img15,data/raw/p2_img15.png,Bad,VGG16,vgg16,Good,0.597386,0.402614,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_img18,data/raw/p2_img18.png,Bad,VGG16,vgg16,Good,0.652922,0.347078,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_img19,data/raw/p2_img19.png,Good,VGG16,vgg16,Good,0.910804,0.089196,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_seed0,data/raw/p2_seed0.jpg,Good,VGG16,vgg16,Good,0.686403,0.313597,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_seed1,data/raw/p2_seed1.jpg,Good,VGG16,vgg16,Good,0.650513,0.349487,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_seed2,data/raw/p2_seed2.jpg,Good,VGG16,vgg16,Good,0.649874,0.350126,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_seed3,data/raw/p2_seed3.jpg,Good,VGG16,vgg16,Good,0.519133,0.480867,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_seed4,data/raw/p2_seed4.jpg,Good,VGG16,vgg16,Good,0.677381,0.322619,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_seed5,data/raw/p2_seed5.jpg,Good,VGG16,vgg16,Good,0.606235,0.393765,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_seed6,data/raw/p2_seed6.jpg,Good,VGG16,vgg16,Good,0.627535,0.372465,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p2_seed7,data/raw/p2_seed7.jpg,Good,VGG16,vgg16,Good,0.573107,0.426893,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img10,data/raw/p3_img10.png,Good,VGG16,vgg16,Good,0.554707,0.445293,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img11,data/raw/p3_img11.png,Good,VGG16,vgg16,Good,0.810553,0.189447,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img12,data/raw/p3_img12.png,Bad,VGG16,vgg16,Good,0.765509,0.234491,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img13,data/raw/p3_img13.png,Good,VGG16,vgg16,Good,0.895286,0.104714,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img14,data/raw/p3_img14.png,Good,VGG16,vgg16,Good,0.656908,0.343092,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img15,data/raw/p3_img15.png,Good,VGG16,vgg16,Good,0.730185,0.269815,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img16,data/raw/p3_img16.png,Good,VGG16,vgg16,Good,0.539719,0.460281,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img17,data/raw/p3_img17.png,Good,VGG16,vgg16,Good,0.844888,0.155112,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img18,data/raw/p3_img18.png,Bad,VGG16,vgg16,Good,0.538793,0.461207,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p3_img19,data/raw/p3_img19.png,Bad,VGG16,vgg16,Good,0.674224,0.325776,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p4_seed0,data/raw/p4_seed0.jpg,Good,VGG16,vgg16,Good,0.677988,0.322012,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p4_seed1,data/raw/p4_seed1.jpg,Good,VGG16,vgg16,Good,0.591148,0.408852,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p4_seed17,data/raw/p4_seed17.jpg,Bad,VGG16,vgg16,Bad,0.457072,0.542928,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p4_seed26,data/raw/p4_seed26.jpg,Bad,VGG16,vgg16,Good,0.705976,0.294024,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p4_seed3,data/raw/p4_seed3.jpg,Bad,VGG16,vgg16,Good,0.535866,0.464134,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p4_seed7,data/raw/p4_seed7.jpg,Good,VGG16,vgg16,Good,0.594909,0.405091,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p4_seed8,data/raw/p4_seed8.jpg,Good,VGG16,vgg16,Good,0.660385,0.339615,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p4_seed9,data/raw/p4_seed9.jpg,Good,VGG16,vgg16,Good,0.638809,0.361191,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p5_seed23,data/raw/p5_seed23.jpg,Bad,VGG16,vgg16,Good,0.590093,0.409907,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p5_seed24,data/raw/p5_seed24.jpg,Bad,VGG16,vgg16,Bad,0.421864,0.578136,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p5_seed25,data/raw/p5_seed25.jpg,Bad,VGG16,vgg16,Good,0.507237,0.492763,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p5_seed28,data/raw/p5_seed28.jpg,Bad,VGG16,vgg16,Bad,0.458742,0.541258,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img10,data/raw/p6_img10.png,Bad,VGG16,vgg16,Bad,0.348276,0.651724,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img11,data/raw/p6_img11.png,Bad,VGG16,vgg16,Bad,0.374061,0.625939,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img12,data/raw/p6_img12.png,Bad,VGG16,vgg16,Good,0.604253,0.395747,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img13,data/raw/p6_img13.png,Good,VGG16,vgg16,Good,0.635596,0.364404,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img14,data/raw/p6_img14.png,Bad,VGG16,vgg16,Bad,0.429646,0.570354,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img15,data/raw/p6_img15.png,Good,VGG16,vgg16,Good,0.538303,0.461697,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img16,data/raw/p6_img16.png,Good,VGG16,vgg16,Good,0.698408,0.301592,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img17,data/raw/p6_img17.png,Bad,VGG16,vgg16,Bad,0.405728,0.594272,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img18,data/raw/p6_img18.png,Bad,VGG16,vgg16,Good,0.51212,0.48788,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_img19,data/raw/p6_img19.png,Bad,VGG16,vgg16,Bad,0.315009,0.684991,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_seed10,data/raw/p6_seed10.jpg,Bad,VGG16,vgg16,Bad,0.456318,0.543682,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_seed11,data/raw/p6_seed11.jpg,Good,VGG16,vgg16,Good,0.673137,0.326863,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_seed12,data/raw/p6_seed12.jpg,Bad,VGG16,vgg16,Bad,0.442029,0.557971,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_seed15,data/raw/p6_seed15.jpg,Bad,VGG16,vgg16,Bad,0.450482,0.549518,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_seed16,data/raw/p6_seed16.jpg,Bad,VGG16,vgg16,Bad,0.476832,0.523168,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_seed17,data/raw/p6_seed17.jpg,Bad,VGG16,vgg16,Good,0.506596,0.493404,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p6_seed18,data/raw/p6_seed18.jpg,Bad,VGG16,vgg16,Good,0.551817,0.448183,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img10,data/raw/p7_img10.png,Good,VGG16,vgg16,Good,0.73994,0.26006,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img11,data/raw/p7_img11.png,Good,VGG16,vgg16,Good,0.87762,0.12238,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img12,data/raw/p7_img12.png,Bad,VGG16,vgg16,Good,0.84033,0.15967,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img13,data/raw/p7_img13.png,Good,VGG16,vgg16,Good,0.91889,0.08111,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img14,data/raw/p7_img14.png,Good,VGG16,vgg16,Good,0.687589,0.312411,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img15,data/raw/p7_img15.png,Good,VGG16,vgg16,Good,0.842179,0.157821,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img16,data/raw/p7_img16.png,Good,VGG16,vgg16,Good,0.778146,0.221854,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img17,data/raw/p7_img17.png,Good,VGG16,vgg16,Good,0.813016,0.186984,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img18,data/raw/p7_img18.png,Good,VGG16,vgg16,Good,0.850107,0.149893,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p7_img19,data/raw/p7_img19.png,Good,VGG16,vgg16,Good,0.820901,0.179099,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img1,data/raw/p9_img1.png,Bad,VGG16,vgg16,Bad,0.463951,0.536049,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img12,data/raw/p9_img12.png,Bad,VGG16,vgg16,Bad,0.490513,0.509487,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img14,data/raw/p9_img14.png,Bad,VGG16,vgg16,Bad,0.460636,0.539364,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img16,data/raw/p9_img16.png,Bad,VGG16,vgg16,Bad,0.464004,0.535996,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img17,data/raw/p9_img17.png,Bad,VGG16,vgg16,Bad,0.493736,0.506264,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img2,data/raw/p9_img2.png,Bad,VGG16,vgg16,Bad,0.438996,0.561004,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img20,data/raw/p9_img20.png,Bad,VGG16,vgg16,Bad,0.471957,0.528043,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img21,data/raw/p9_img21.png,Bad,VGG16,vgg16,Good,0.602911,0.397089,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img27,data/raw/p9_img27.png,Bad,VGG16,vgg16,Bad,0.470141,0.529859,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img3,data/raw/p9_img3.png,Bad,VGG16,vgg16,Bad,0.444196,0.555804,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img4,data/raw/p9_img4.png,Bad,VGG16,vgg16,Bad,0.455626,0.544374,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img5,data/raw/p9_img5.png,Bad,VGG16,vgg16,Good,0.679209,0.320791,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p9_img6,data/raw/p9_img6.png,Bad,VGG16,vgg16,Bad,0.470345,0.529655,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img1,data/raw/p0_img1.png,Bad,ResNet18,resnet18,Bad,0.372425,0.627575,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img10,data/raw/p0_img10.png,Good,ResNet18,resnet18,Good,0.900748,0.099252,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img11,data/raw/p0_img11.png,Good,ResNet18,resnet18,Good,0.95495,0.04505,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img12,data/raw/p0_img12.png,Good,ResNet18,resnet18,Good,0.971365,0.028635,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img13,data/raw/p0_img13.png,Good,ResNet18,resnet18,Good,0.951495,0.048505,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img18,data/raw/p0_img18.png,Good,ResNet18,resnet18,Good,0.9113,0.0887,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img19,data/raw/p0_img19.png,Good,ResNet18,resnet18,Good,0.983849,0.016151,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img20,data/raw/p0_img20.png,Good,ResNet18,resnet18,Good,0.981878,0.018122,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img21,data/raw/p0_img21.png,Good,ResNet18,resnet18,Good,0.957054,0.042946,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img22,data/raw/p0_img22.png,Good,ResNet18,resnet18,Good,0.962589,0.037411,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img23,data/raw/p0_img23.png,Good,ResNet18,resnet18,Good,0.908667,0.091333,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img24,data/raw/p0_img24.png,Good,ResNet18,resnet18,Bad,0.319995,0.680005,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img25,data/raw/p0_img25.png,Good,ResNet18,resnet18,Good,0.961332,0.038668,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img26,data/raw/p0_img26.png,Good,ResNet18,resnet18,Good,0.847881,0.152119,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img27,data/raw/p0_img27.png,Good,ResNet18,resnet18,Good,0.864094,0.135906,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img28,data/raw/p0_img28.png,Good,ResNet18,resnet18,Good,0.946476,0.053524,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p0_img29,data/raw/p0_img29.png,Good,ResNet18,resnet18,Good,0.970896,0.029104,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed0,data/raw/p1_seed0.jpg,Bad,ResNet18,resnet18,Bad,0.259802,0.740198,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed10,data/raw/p1_seed10.jpg,Bad,ResNet18,resnet18,Good,0.677453,0.322547,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed12,data/raw/p1_seed12.jpg,Bad,ResNet18,resnet18,Bad,0.355776,0.644224,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed2,data/raw/p1_seed2.jpg,Bad,ResNet18,resnet18,Good,0.688414,0.311586,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed3,data/raw/p1_seed3.jpg,Bad,ResNet18,resnet18,Good,0.71606,0.28394,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed4,data/raw/p1_seed4.jpg,Bad,ResNet18,resnet18,Good,0.693068,0.306932,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed5,data/raw/p1_seed5.jpg,Bad,ResNet18,resnet18,Good,0.968516,0.031484,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed7,data/raw/p1_seed7.jpg,Bad,ResNet18,resnet18,Good,0.889716,0.110284,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p1_seed8,data/raw/p1_seed8.jpg,Bad,ResNet18,resnet18,Good,0.528268,0.471732,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_img12,data/raw/p2_img12.png,Bad,ResNet18,resnet18,Good,0.988859,0.011141,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_img15,data/raw/p2_img15.png,Bad,ResNet18,resnet18,Good,0.509684,0.490316,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_img18,data/raw/p2_img18.png,Bad,ResNet18,resnet18,Good,0.979072,0.020928,0,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_img19,data/raw/p2_img19.png,Good,ResNet18,resnet18,Good,0.99876,0.00124,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_seed0,data/raw/p2_seed0.jpg,Good,ResNet18,resnet18,Good,0.994869,0.005131,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_seed1,data/raw/p2_seed1.jpg,Good,ResNet18,resnet18,Good,0.966219,0.033781,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_seed2,data/raw/p2_seed2.jpg,Good,ResNet18,resnet18,Good,0.998271,0.001729,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_seed3,data/raw/p2_seed3.jpg,Good,ResNet18,resnet18,Good,0.726951,0.273049,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_seed4,data/raw/p2_seed4.jpg,Good,ResNet18,resnet18,Good,0.99837,0.00163,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_seed5,data/raw/p2_seed5.jpg,Good,ResNet18,resnet18,Good,0.998368,0.001632,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_seed6,data/raw/p2_seed6.jpg,Good,ResNet18,resnet18,Good,0.921045,0.078955,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p2_seed7,data/raw/p2_seed7.jpg,Good,ResNet18,resnet18,Good,0.996463,0.003537,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
p3_img10,data/raw/p3_img10.png,Good,ResNet18,resnet18,Good,0.558218,0.441782,1,outputs/checkpoints/best_resnet18_lr0.001.pth,0.001,6d6u2kul,17,0.8111888111888111
